,CO,NO,NO2,NOx,O3,PM2.5
373,16.4,4.0,39.0,43.0,42.0,241.0
374,16.8,5.0,47.0,52.0,33.0,235.0
375,16.2,5.0,52.0,57.0,24.0,207.0
376,14.5,3.0,44.0,47.0,28.0,160.0
377,15.4,2.0,52.0,54.0,15.0,151.0
378,16.2,6.0,59.0,65.0,8.0,152.0
379,16.1,9.0,57.0,65.0,6.0,144.0
380,16.8,10.0,56.0,66.0,4.0,153.0
381,15.3,4.0,50.0,53.0,7.0,154.0
382,15.6,9.0,47.0,56.0,6.0,163.0
383,15.2,11.0,45.0,56.0,4.0,159.0
384,9.2,1.0,28.0,29.0,9.0,104.0
385,9.7,1.0,29.0,29.0,7.0,95.0
386,12.0,10.0,35.0,45.0,2.0,94.0
387,,,,,,62.0
388,6.1,0.0,17.0,17.0,13.0,55.0
389,5.8,0.0,16.0,16.0,12.0,49.0
390,5.9,1.0,18.0,19.0,10.0,52.0
391,10.6,22.0,27.0,49.0,6.0,133.0
392,11.7,20.0,33.0,53.0,7.0,124.0
393,10.6,7.0,27.0,34.0,16.0,125.0
394,9.5,5.0,20.0,25.0,25.0,111.0
395,7.5,2.0,13.0,15.0,36.0,81.0
396,6.7,2.0,11.0,13.0,43.0,73.0
397,6.1,1.0,9.0,10.0,48.0,61.0
398,5.8,1.0,8.0,9.0,46.0,56.0
399,5.8,0.0,7.0,7.0,47.0,61.0
400,5.6,0.0,8.0,9.0,44.0,55.0
401,5.4,0.0,10.0,10.0,40.0,46.0
402,5.2,0.0,11.0,11.0,37.0,39.0
403,4.7,0.0,9.0,9.0,40.0,38.0
404,4.9,0.0,10.0,11.0,36.0,34.0
405,5.5,0.0,12.0,12.0,33.0,42.0
406,6.3,0.0,16.0,17.0,26.0,46.0
407,6.8,0.0,21.0,21.0,16.0,37.0
408,6.5,0.0,21.0,21.0,15.0,37.0
409,5.9,0.0,18.0,19.0,15.0,32.0
410,6.4,0.0,18.0,19.0,14.0,45.0
411,,,,,,45.0
412,7.1,0.0,22.0,22.0,11.0,54.0
413,6.5,3.0,24.0,27.0,11.0,59.0
414,6.2,3.0,22.0,25.0,12.0,65.0
415,5.7,14.0,28.0,42.0,8.0,64.0
416,5.7,9.0,22.0,30.0,14.0,59.0
417,6.5,4.0,19.0,22.0,20.0,68.0
418,6.3,2.0,13.0,16.0,31.0,68.0
419,6.3,2.0,14.0,16.0,34.0,66.0
420,6.5,2.0,10.0,12.0,40.0,71.0
421,6.7,2.0,12.0,14.0,39.0,61.0
422,7.8,2.0,19.0,21.0,38.0,68.0
423,7.7,3.0,27.0,30.0,30.0,72.0
424,7.4,1.0,28.0,30.0,24.0,64.0
425,8.1,3.0,37.0,40.0,15.0,57.0
426,6.6,1.0,22.0,23.0,24.0,49.0
427,6.5,1.0,26.0,27.0,16.0,39.0
428,7.5,1.0,32.0,33.0,9.0,45.0
429,8.2,1.0,32.0,33.0,8.0,50.0
430,9.0,4.0,37.0,41.0,3.0,53.0
431,8.6,15.0,44.0,59.0,1.0,48.0
432,8.5,4.0,32.0,35.0,8.0,63.0
433,8.5,1.0,28.0,29.0,7.0,83.0
434,9.1,1.0,28.0,30.0,6.0,86.0
435,,,,,,94.0
436,11.2,3.0,30.0,33.0,9.0,104.0
437,10.2,2.0,32.0,34.0,8.0,113.0
438,11.6,15.0,42.0,58.0,2.0,107.0
439,12.8,43.0,48.0,90.0,2.0,114.0
440,10.3,36.0,42.0,77.0,7.0,97.0
441,9.8,14.0,35.0,48.0,18.0,97.0
442,9.3,8.0,25.0,33.0,28.0,91.0
443,9.3,7.0,29.0,35.0,33.0,85.0
444,9.6,5.0,31.0,35.0,37.0,86.0
445,10.3,7.0,40.0,47.0,31.0,88.0
446,12.3,10.0,56.0,67.0,20.0,104.0
447,10.7,5.0,51.0,56.0,25.0,92.0
448,12.1,4.0,56.0,60.0,16.0,85.0
449,15.8,16.0,69.0,85.0,2.0,94.0
450,19.2,42.0,69.0,111.0,2.0,94.0
451,13.3,7.0,54.0,62.0,4.0,98.0
452,13.9,7.0,52.0,59.0,5.0,119.0
453,14.2,6.0,50.0,56.0,5.0,136.0
454,13.4,14.0,49.0,62.0,4.0,133.0
455,11.0,5.0,46.0,51.0,3.0,120.0
456,10.5,8.0,39.0,48.0,5.0,102.0
457,8.6,5.0,30.0,35.0,6.0,90.0
458,9.6,9.0,36.0,45.0,2.0,92.0
459,,,,,,97.0
460,12.2,25.0,42.0,68.0,1.0,93.0
461,11.3,19.0,41.0,60.0,1.0,90.0
462,10.2,27.0,37.0,64.0,1.0,84.0
463,13.9,78.0,43.0,122.0,2.0,79.0
464,13.7,67.0,48.0,114.0,4.0,84.0
465,8.6,30.0,34.0,64.0,10.0,76.0
466,7.4,15.0,28.0,43.0,20.0,77.0
467,7.3,13.0,29.0,42.0,24.0,72.0
468,6.7,6.0,23.0,30.0,34.0,57.0
469,6.0,3.0,19.0,22.0,44.0,45.0
470,6.2,3.0,21.0,24.0,42.0,40.0
471,5.8,3.0,29.0,32.0,33.0,38.0
472,7.1,3.0,40.0,42.0,21.0,37.0
473,9.2,6.0,56.0,62.0,4.0,45.0
474,8.4,1.0,43.0,44.0,16.0,45.0
475,9.6,3.0,44.0,47.0,10.0,46.0
476,11.8,21.0,53.0,74.0,1.0,50.0
477,7.6,2.0,41.0,43.0,9.0,43.0
478,8.6,2.0,45.0,47.0,4.0,43.0
479,9.5,6.0,46.0,52.0,2.0,45.0
480,8.9,1.0,37.0,38.0,10.0,55.0
481,8.3,0.0,33.0,33.0,12.0,55.0
482,,,,,,40.0
483,6.5,0.0,21.0,22.0,16.0,39.0
484,6.2,0.0,23.0,23.0,15.0,31.0
485,4.4,1.0,22.0,23.0,15.0,17.0
486,4.0,1.0,20.0,21.0,14.0,14.0
487,4.1,3.0,23.0,26.0,12.0,13.0
488,3.8,3.0,20.0,23.0,13.0,12.0
489,4.7,9.0,23.0,32.0,9.0,12.0
490,3.9,5.0,16.0,21.0,15.0,10.0
491,4.0,4.0,14.0,18.0,15.0,
492,3.8,2.0,12.0,14.0,19.0,-1.0
493,3.4,1.0,8.0,9.0,27.0,-2.0
494,3.6,1.0,9.0,11.0,27.0,0.0
495,3.3,1.0,6.0,7.0,30.0,2.0
496,3.2,0.0,6.0,7.0,30.0,1.0
497,3.2,0.0,6.0,7.0,30.0,1.0
498,3.2,0.0,5.0,6.0,32.0,4.0
499,3.3,0.0,6.0,6.0,30.0,3.0
500,3.3,1.0,7.0,8.0,28.0,5.0
501,3.2,0.0,6.0,6.0,32.0,3.0
502,2.9,0.0,4.0,4.0,34.0,3.0
503,2.9,0.0,4.0,4.0,35.0,4.0
504,2.8,0.0,4.0,4.0,35.0,4.0
505,2.7,0.0,2.0,2.0,38.0,3.0
506,2.7,0.0,2.0,3.0,37.0,2.0
507,,,,,,1.0
508,2.7,0.0,3.0,4.0,36.0,2.0
509,3.0,0.0,6.0,6.0,34.0,3.0
510,3.3,0.0,6.0,6.0,36.0,2.0
511,3.0,0.0,8.0,9.0,31.0,2.0
512,2.9,1.0,6.0,6.0,35.0,3.0
513,2.8,1.0,4.0,5.0,38.0,3.0
514,2.7,1.0,3.0,4.0,38.0,3.0
515,2.6,0.0,3.0,3.0,37.0,2.0
516,2.7,0.0,3.0,3.0,37.0,3.0
517,2.6,0.0,3.0,3.0,37.0,5.0
518,2.5,0.0,3.0,3.0,38.0,4.0
519,2.5,0.0,2.0,3.0,38.0,4.0
520,2.7,0.0,3.0,3.0,37.0,5.0
521,2.8,0.0,3.0,3.0,36.0,2.0
522,2.8,0.0,3.0,3.0,35.0,1.0
523,2.8,0.0,4.0,4.0,34.0,3.0
524,2.7,0.0,2.0,3.0,36.0,2.0
525,2.6,0.0,2.0,2.0,37.0,-1.0
526,2.8,0.0,3.0,3.0,37.0,0.0
527,3.1,2.0,7.0,8.0,33.0,1.0
528,3.4,1.0,9.0,10.0,29.0,2.0
529,3.0,4.0,5.0,8.0,34.0,1.0
530,2.7,0.0,4.0,4.0,38.0,-1.0
531,,,,,,1.0
532,2.9,0.0,6.0,6.0,30.0,2.0
533,3.1,0.0,8.0,8.0,25.0,2.0
534,3.7,0.0,14.0,14.0,16.0,1.0
535,3.4,1.0,11.0,12.0,16.0,4.0
536,3.6,2.0,14.0,16.0,14.0,4.0
537,3.3,1.0,9.0,10.0,18.0,3.0
538,3.1,1.0,6.0,6.0,30.0,3.0
539,2.9,0.0,4.0,4.0,35.0,3.0
540,3.0,0.0,4.0,4.0,35.0,4.0
541,2.9,0.0,3.0,4.0,36.0,5.0
542,2.9,0.0,4.0,4.0,36.0,5.0
543,3.0,0.0,4.0,5.0,35.0,3.0
544,3.1,0.0,4.0,4.0,36.0,2.0
545,3.1,0.0,5.0,5.0,35.0,3.0
546,3.3,0.0,5.0,5.0,35.0,3.0
547,3.0,0.0,4.0,4.0,36.0,3.0
548,3.0,0.0,4.0,4.0,36.0,5.0
549,2.9,0.0,3.0,3.0,36.0,9.0
550,2.9,0.0,3.0,3.0,36.0,8.0
551,2.8,0.0,3.0,3.0,36.0,6.0
552,2.8,0.0,2.0,3.0,36.0,3.0
553,2.9,0.0,3.0,3.0,34.0,-1.0
554,2.8,0.0,3.0,3.0,34.0,0.0
555,,,,,,0.0
556,2.6,0.0,4.0,4.0,31.0,0.0
557,2.7,0.0,4.0,4.0,31.0,-1.0
558,2.7,1.0,4.0,4.0,31.0,-2.0
559,3.1,1.0,10.0,12.0,24.0,-2.0
560,3.2,2.0,7.0,9.0,30.0,0.0
561,2.9,1.0,4.0,4.0,34.0,2.0
562,2.9,1.0,3.0,4.0,36.0,4.0
563,2.9,1.0,4.0,4.0,35.0,3.0
564,2.9,1.0,4.0,4.0,34.0,4.0
565,2.9,1.0,3.0,4.0,35.0,4.0
566,3.0,1.0,4.0,5.0,33.0,2.0
567,3.1,1.0,4.0,5.0,30.0,1.0
568,3.1,1.0,6.0,7.0,30.0,3.0
569,3.6,0.0,9.0,9.0,27.0,5.0
570,5.1,0.0,16.0,16.0,16.0,6.0
571,6.8,2.0,25.0,26.0,6.0,15.0
572,7.0,4.0,27.0,32.0,2.0,13.0
573,6.5,2.0,25.0,27.0,4.0,13.0
574,5.5,1.0,20.0,21.0,5.0,10.0
575,5.5,3.0,20.0,22.0,4.0,12.0
576,6.3,6.0,21.0,27.0,2.0,9.0
577,6.5,7.0,19.0,26.0,1.0,9.0
578,6.4,9.0,19.0,28.0,1.0,10.0
579,,,,,,7.0
580,4.7,2.0,15.0,16.0,3.0,6.0
581,4.3,1.0,14.0,15.0,4.0,8.0
582,4.5,6.0,15.0,22.0,5.0,8.0
583,4.1,8.0,18.0,26.0,4.0,8.0
584,4.2,14.0,17.0,31.0,4.0,14.0
585,4.1,12.0,16.0,28.0,7.0,18.0
586,4.0,12.0,14.0,26.0,10.0,14.0
587,3.7,9.0,10.0,19.0,13.0,15.0
588,3.8,12.0,12.0,24.0,12.0,14.0
589,4.6,18.0,16.0,34.0,12.0,10.0
590,4.3,15.0,15.0,30.0,13.0,11.0
591,3.8,2.0,9.0,11.0,22.0,10.0
592,3.7,1.0,9.0,10.0,20.0,7.0
593,4.9,2.0,21.0,23.0,7.0,6.0
594,6.0,4.0,24.0,28.0,5.0,6.0
595,5.8,2.0,22.0,25.0,6.0,6.0
596,5.3,3.0,23.0,25.0,5.0,9.0
597,5.0,3.0,21.0,24.0,3.0,9.0
598,6.2,8.0,21.0,29.0,1.0,7.0
599,5.8,6.0,20.0,26.0,2.0,7.0
600,4.7,5.0,18.0,23.0,1.0,6.0
601,4.6,13.0,21.0,33.0,1.0,4.0
602,6.8,23.0,18.0,41.0,1.0,12.0
603,,,,,,10.0
604,6.5,23.0,16.0,39.0,1.0,7.0
605,6.1,34.0,23.0,57.0,1.0,10.0
606,4.7,22.0,19.0,41.0,1.0,8.0
607,4.8,34.0,16.0,50.0,1.0,10.0
608,4.5,33.0,16.0,50.0,3.0,11.0
609,5.3,33.0,18.0,51.0,4.0,10.0
610,4.9,23.0,17.0,40.0,7.0,9.0
611,4.8,17.0,18.0,34.0,10.0,12.0
612,4.8,14.0,16.0,30.0,11.0,9.0
613,5.1,15.0,20.0,35.0,12.0,16.0
614,5.2,9.0,19.0,27.0,15.0,14.0
615,4.6,7.0,17.0,24.0,17.0,13.0
616,4.5,3.0,16.0,18.0,13.0,9.0
617,5.0,1.0,18.0,19.0,11.0,8.0
618,7.7,7.0,27.0,34.0,2.0,12.0
619,5.7,5.0,25.0,30.0,5.0,13.0
620,5.0,2.0,21.0,24.0,6.0,12.0
621,6.4,5.0,24.0,29.0,2.0,10.0
622,6.4,10.0,23.0,34.0,1.0,12.0
623,5.0,7.0,15.0,21.0,8.0,11.0
624,3.3,0.0,5.0,6.0,19.0,8.0
625,3.0,0.0,5.0,5.0,22.0,7.0
626,3.1,0.0,6.0,6.0,22.0,7.0
627,,,,,,9.0
628,3.7,1.0,16.0,17.0,12.0,8.0
629,4.8,2.0,18.0,20.0,10.0,7.0
630,5.4,8.0,20.0,28.0,7.0,9.0
631,5.9,13.0,27.0,39.0,5.0,11.0
632,3.8,1.0,10.0,11.0,25.0,5.0
633,3.6,1.0,9.0,10.0,27.0,0.0
634,3.4,1.0,7.0,8.0,29.0,0.0
635,3.6,2.0,8.0,10.0,27.0,1.0
636,4.3,4.0,12.0,16.0,19.0,9.0
637,4.8,3.0,16.0,19.0,14.0,13.0
638,6.5,9.0,25.0,34.0,8.0,19.0
639,6.4,4.0,22.0,26.0,9.0,14.0
640,6.4,4.0,24.0,27.0,6.0,17.0
641,5.5,2.0,21.0,24.0,7.0,11.0
642,4.9,2.0,18.0,19.0,11.0,9.0
643,4.7,1.0,15.0,17.0,12.0,14.0
644,5.1,1.0,17.0,18.0,9.0,16.0
645,4.9,1.0,17.0,18.0,10.0,10.0
646,4.8,0.0,15.0,15.0,11.0,11.0
647,4.6,1.0,14.0,15.0,11.0,11.0
648,4.8,1.0,14.0,15.0,10.0,9.0
649,4.7,1.0,14.0,15.0,11.0,8.0
650,,,,,,9.0
651,3.8,0.0,9.0,10.0,16.0,10.0
652,3.3,0.0,8.0,8.0,20.0,6.0
653,3.6,0.0,8.0,9.0,23.0,3.0
654,4.1,2.0,17.0,19.0,14.0,7.0
655,4.2,3.0,19.0,22.0,14.0,4.0
656,4.0,3.0,17.0,20.0,20.0,6.0
657,,,,,,6.0
658,,,,,,5.0
659,,,,,,6.0
660,,,,,,8.0
661,,,,,,8.0
662,2.4,2.0,7.0,9.0,31.0,8.0
663,2.8,2.0,9.0,11.0,30.0,7.0
664,3.0,1.0,13.0,14.0,27.0,4.0
665,3.6,0.0,13.0,14.0,22.0,5.0
666,3.6,1.0,18.0,19.0,18.0,6.0
667,2.6,1.0,8.0,8.0,27.0,3.0
668,2.5,0.0,6.0,7.0,27.0,2.0
669,2.3,0.0,5.0,5.0,26.0,3.0
670,2.1,0.0,3.0,4.0,29.0,1.0
