,CO,NO,NO2,NOx,O3,PM2.5
301,7.7,3.0,29.0,32.0,36.0,64.0
302,8.6,10.0,45.0,55.0,24.0,78.0
303,9.2,5.0,42.0,47.0,22.0,68.0
304,8.4,4.0,43.0,48.0,21.0,74.0
305,11.7,12.0,53.0,65.0,6.0,59.0
306,16.1,45.0,54.0,99.0,0.0,77.0
307,13.0,35.0,50.0,84.0,1.0,68.0
308,11.6,24.0,46.0,70.0,1.0,50.0
309,10.6,23.0,43.0,66.0,1.0,52.0
310,8.4,3.0,35.0,38.0,5.0,48.0
311,7.0,2.0,33.0,35.0,6.0,43.0
312,6.7,1.0,31.0,32.0,5.0,37.0
313,6.6,1.0,28.0,29.0,5.0,31.0
314,,,,,,35.0
315,5.7,0.0,20.0,20.0,12.0,25.0
316,6.0,1.0,22.0,23.0,9.0,32.0
317,6.5,6.0,30.0,36.0,3.0,27.0
318,8.9,36.0,35.0,71.0,0.0,28.0
319,16.7,97.0,46.0,143.0,1.0,31.0
320,16.1,97.0,54.0,150.0,2.0,39.0
321,14.2,58.0,51.0,109.0,5.0,48.0
322,11.9,39.0,52.0,90.0,10.0,54.0
323,8.9,18.0,43.0,61.0,21.0,71.0
324,7.9,10.0,35.0,45.0,32.0,86.0
325,8.4,9.0,37.0,46.0,32.0,64.0
326,8.8,4.0,34.0,39.0,45.0,72.0
327,10.5,2.0,36.0,38.0,54.0,82.0
328,11.1,1.0,42.0,43.0,48.0,138.0
329,20.1,24.0,77.0,101.0,3.0,135.0
330,19.3,45.0,68.0,113.0,1.0,140.0
331,16.2,43.0,60.0,103.0,1.0,123.0
332,12.5,18.0,52.0,70.0,2.0,103.0
333,12.4,11.0,50.0,61.0,2.0,81.0
334,10.8,14.0,46.0,60.0,1.0,76.0
335,10.2,9.0,43.0,52.0,1.0,62.0
336,9.8,9.0,41.0,50.0,1.0,69.0
337,9.3,8.0,36.0,44.0,3.0,76.0
338,9.2,4.0,34.0,38.0,2.0,78.0
339,,,,,,86.0
340,9.9,4.0,30.0,34.0,3.0,87.0
341,11.4,15.0,34.0,49.0,1.0,86.0
342,14.9,37.0,39.0,76.0,0.0,97.0
343,22.2,91.0,42.0,133.0,1.0,97.0
344,24.9,110.0,48.0,158.0,1.0,102.0
345,,,,,,112.0
346,,,,,,111.0
347,11.4,13.0,39.0,52.0,24.0,139.0
348,12.4,12.0,44.0,56.0,25.0,128.0
349,12.8,10.0,47.0,57.0,33.0,140.0
350,12.8,6.0,46.0,52.0,40.0,153.0
351,12.6,5.0,45.0,50.0,32.0,171.0
352,14.4,5.0,56.0,60.0,24.0,166.0
353,22.1,31.0,70.0,101.0,2.0,181.0
354,24.1,71.0,66.0,137.0,1.0,172.0
355,20.3,53.0,57.0,110.0,1.0,164.0
356,14.7,15.0,50.0,66.0,3.0,143.0
357,13.5,6.0,47.0,52.0,5.0,133.0
358,12.0,4.0,46.0,50.0,3.0,106.0
359,11.4,1.0,35.0,36.0,10.0,105.0
360,10.2,2.0,35.0,38.0,4.0,113.0
361,9.7,1.0,31.0,32.0,6.0,103.0
362,9.2,11.0,28.0,39.0,7.0,85.0
363,,,,,,96.0
364,10.8,4.0,31.0,35.0,5.0,88.0
365,10.0,7.0,32.0,39.0,2.0,95.0
366,13.8,32.0,35.0,67.0,0.0,96.0
367,21.6,103.0,46.0,150.0,1.0,95.0
368,21.5,102.0,51.0,152.0,2.0,107.0
369,12.2,10.0,34.0,44.0,22.0,121.0
370,11.7,5.0,29.0,34.0,34.0,144.0
371,10.5,3.0,25.0,28.0,48.0,151.0
372,9.2,2.0,20.0,22.0,60.0,137.0
373,10.3,4.0,31.0,35.0,55.0,114.0
374,11.8,4.0,36.0,41.0,50.0,140.0
375,12.7,3.0,39.0,42.0,50.0,147.0
376,13.7,1.0,46.0,47.0,45.0,164.0
377,20.5,25.0,74.0,98.0,7.0,157.0
378,22.9,57.0,71.0,128.0,1.0,157.0
379,15.5,11.0,59.0,70.0,3.0,149.0
380,14.0,4.0,50.0,54.0,5.0,119.0
381,11.8,3.0,42.0,45.0,7.0,109.0
382,10.9,6.0,40.0,45.0,5.0,82.0
383,10.4,4.0,38.0,42.0,3.0,66.0
384,9.2,3.0,35.0,37.0,7.0,65.0
385,8.5,0.0,27.0,27.0,15.0,70.0
386,9.0,0.0,24.0,24.0,14.0,76.0
387,,,,,,75.0
388,8.2,1.0,31.0,32.0,6.0,68.0
389,8.7,2.0,30.0,32.0,5.0,70.0
390,9.8,15.0,33.0,48.0,1.0,70.0
391,13.1,31.0,33.0,63.0,1.0,70.0
392,15.4,44.0,42.0,86.0,5.0,68.0
393,12.9,19.0,37.0,56.0,13.0,95.0
394,10.8,11.0,29.0,40.0,21.0,116.0
395,9.4,5.0,23.0,28.0,32.0,96.0
396,9.3,4.0,21.0,25.0,36.0,111.0
397,8.1,2.0,17.0,19.0,41.0,100.0
398,7.7,2.0,14.0,17.0,43.0,86.0
399,5.9,1.0,12.0,13.0,40.0,73.0
400,5.9,1.0,15.0,16.0,32.0,52.0
401,6.0,1.0,19.0,20.0,23.0,52.0
402,8.2,5.0,26.0,31.0,13.0,46.0
403,11.5,25.0,31.0,56.0,1.0,53.0
404,10.5,16.0,27.0,43.0,1.0,57.0
405,9.1,11.0,23.0,34.0,2.0,58.0
406,9.4,7.0,21.0,28.0,1.0,56.0
407,8.3,4.0,19.0,23.0,1.0,41.0
408,8.2,7.0,17.0,24.0,1.0,71.0
409,7.6,3.0,15.0,18.0,1.0,42.0
410,7.1,2.0,14.0,15.0,3.0,40.0
411,,,,,,46.0
412,6.6,2.0,16.0,17.0,2.0,44.0
413,6.5,1.0,16.0,18.0,4.0,49.0
414,6.2,1.0,12.0,13.0,18.0,49.0
415,6.2,1.0,11.0,12.0,15.0,50.0
416,6.0,1.0,8.0,10.0,21.0,54.0
417,6.4,2.0,11.0,13.0,23.0,56.0
418,6.7,4.0,13.0,16.0,25.0,61.0
419,6.9,3.0,12.0,15.0,30.0,63.0
420,7.1,2.0,12.0,14.0,38.0,79.0
421,7.2,1.0,11.0,12.0,47.0,67.0
422,7.0,1.0,9.0,10.0,49.0,69.0
423,6.9,1.0,9.0,10.0,51.0,63.0
424,7.1,0.0,12.0,12.0,44.0,63.0
425,8.4,2.0,21.0,23.0,25.0,69.0
426,11.9,4.0,35.0,39.0,6.0,74.0
427,11.6,6.0,30.0,37.0,3.0,71.0
428,9.8,2.0,24.0,26.0,7.0,71.0
429,9.6,1.0,24.0,25.0,7.0,61.0
430,9.5,2.0,24.0,26.0,5.0,57.0
431,8.5,5.0,22.0,27.0,1.0,47.0
432,8.2,3.0,21.0,23.0,4.0,46.0
433,7.8,1.0,17.0,18.0,6.0,47.0
434,7.6,1.0,16.0,17.0,8.0,50.0
435,,,,,,54.0
436,7.8,3.0,20.0,22.0,3.0,47.0
437,8.7,10.0,22.0,32.0,1.0,43.0
438,12.4,50.0,27.0,76.0,0.0,43.0
439,21.3,108.0,31.0,138.0,0.0,45.0
440,21.9,99.0,34.0,133.0,1.0,49.0
441,11.0,23.0,31.0,54.0,8.0,57.0
442,9.8,6.0,27.0,33.0,30.0,74.0
443,9.7,8.0,33.0,41.0,32.0,82.0
444,9.1,4.0,28.0,32.0,41.0,82.0
445,8.6,3.0,27.0,30.0,43.0,90.0
446,9.0,2.0,28.0,30.0,45.0,71.0
447,10.7,8.0,37.0,46.0,30.0,79.0
448,10.4,4.0,38.0,41.0,30.0,74.0
449,12.9,9.0,50.0,59.0,16.0,77.0
450,19.8,54.0,56.0,110.0,1.0,93.0
451,15.7,44.0,46.0,90.0,1.0,78.0
452,12.1,26.0,40.0,66.0,1.0,54.0
453,10.1,13.0,39.0,52.0,2.0,39.0
454,10.0,13.0,33.0,46.0,1.0,42.0
455,8.4,14.0,34.0,48.0,2.0,42.0
456,7.6,6.0,30.0,36.0,2.0,38.0
457,6.8,2.0,26.0,28.0,4.0,31.0
458,6.3,1.0,24.0,25.0,5.0,34.0
459,,,,,,32.0
460,7.0,10.0,25.0,35.0,1.0,31.0
461,8.8,14.0,26.0,40.0,0.0,26.0
462,10.4,47.0,29.0,77.0,0.0,41.0
463,19.0,103.0,40.0,143.0,1.0,53.0
464,16.3,62.0,38.0,100.0,2.0,60.0
465,11.6,40.0,43.0,83.0,7.0,69.0
466,,,,,,72.0
467,7.7,18.0,34.0,52.0,25.0,81.0
468,5.7,4.0,18.0,22.0,46.0,56.0
469,5.3,5.0,23.0,28.0,44.0,48.0
470,5.6,6.0,29.0,34.0,40.0,60.0
471,5.1,2.0,17.0,19.0,50.0,54.0
472,5.9,3.0,35.0,38.0,36.0,43.0
473,13.9,13.0,55.0,68.0,6.0,40.0
474,12.3,11.0,49.0,60.0,4.0,37.0
475,9.9,10.0,44.0,53.0,3.0,40.0
476,8.4,3.0,32.0,35.0,10.0,32.0
477,9.5,8.0,41.0,49.0,2.0,39.0
478,8.7,9.0,34.0,43.0,1.0,37.0
479,7.4,6.0,32.0,38.0,1.0,33.0
480,6.6,3.0,30.0,32.0,3.0,31.0
481,6.5,1.0,30.0,31.0,7.0,22.0
482,,,,,,27.0
483,3.5,0.0,12.0,12.0,22.0,14.0
484,2.5,0.0,4.0,5.0,27.0,14.0
485,2.2,0.0,3.0,3.0,26.0,8.0
486,3.1,12.0,15.0,26.0,17.0,4.0
487,4.0,5.0,15.0,19.0,14.0,
488,4.1,7.0,16.0,23.0,11.0,
489,4.0,5.0,12.0,17.0,13.0,3.0
490,2.6,1.0,5.0,6.0,21.0,2.0
491,2.7,4.0,7.0,11.0,20.0,3.0
492,3.5,4.0,7.0,12.0,20.0,7.0
493,3.2,2.0,6.0,8.0,20.0,9.0
494,3.1,2.0,5.0,7.0,22.0,5.0
495,3.0,1.0,4.0,5.0,28.0,-2.0
496,3.1,1.0,6.0,7.0,23.0,-3.0
